1000,0.020000,0.010000,0.010000,0.000000,0.000000,0.000000,1000,1000
76000,1.560000,1.000000,0.530000,0.400000,0.010000,0.000000,76000,76000
151000,3.170000,1.810000,1.040000,0.790000,0.040000,0.000000,151000,151000
226000,4.580000,2.570000,1.570000,1.180000,0.050000,0.000000,226000,226000
301000,6.120000,3.490000,2.100000,1.570000,0.060000,0.000000,301000,301000
376000,7.890000,4.430000,2.590000,1.970000,0.120000,0.000000,376000,376000
451000,9.100000,5.040000,3.160000,2.380000,0.120000,0.000000,451000,451000
526000,10.660000,5.950000,3.620000,2.750000,0.150000,0.000000,526000,526000
601000,13.630000,7.750000,4.130000,3.110000,0.150000,0.000000,601000,601000
676000,15.210000,9.000000,4.740000,3.550000,0.150000,0.000000,676000,676000
751000,16.000000,9.050000,5.220000,3.930000,0.180000,0.000000,751000,751000
826000,17.960000,10.170000,5.740000,4.310000,0.220000,0.000000,826000,826000
901000,18.780000,10.490000,6.190000,4.700000,0.270000,0.000000,901000,901000
976000,21.350000,12.360000,6.730000,5.110000,0.310000,0.000000,976000,976000
1051000,22.950000,13.450000,7.260000,5.560000,0.330000,0.000000,1051000,1051000
1126000,22.790000,13.030000,7.750000,6.000000,0.390000,0.000000,1126000,1126000
1201000,25.530000,14.120000,8.390000,6.430000,0.380000,0.000000,1201000,1201000
1276000,26.790000,15.420000,8.950000,6.830000,0.370000,0.000000,1276000,1276000
1351000,28.990000,16.630000,9.580000,7.270000,0.320000,0.000000,1351000,1351000
1426000,30.080000,16.130000,9.970000,7.600000,0.410000,0.000000,1426000,1426000
